,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AU1,AW1,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,MA1,MW1,OC1,REM,EQD
897,72066900247,2022-01-13T08:40:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","01524,5,M,N","016093,5,N,5","+0190,5","+0090,5","99999,9",,,,,,"07,5,+01524,5,99,9","08,5,+01829,5,99,9",,"3,99,1,+01524,5,9","4,99,1,+01829,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01524,1,99,9,99,9","10227,5,09958,5",,,MET08301/13/22 02:40:02 METAR KGUL 130840Z 00000KT 10SM BKN050 OVC060 19/09 A3020 RMK A01,
898,72066900247,2022-01-13T09:00:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","01829,5,M,N","016093,5,N,5","+0190,C","+0100,C","99999,9",,,,,,"02,5,+01463,5,99,9","08,5,+01829,5,99,9",,"1,99,1,+01463,5,9","4,99,1,+01829,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01463,1,99,9,99,9","10224,5,09955,5",,,MET08301/13/22 03:00:02 METAR KGUL 130900Z 00000KT 10SM FEW048 OVC060 19/10 A3019 RMK A01,R01    197TMP046R02    107DPT046
899,72066900247,2022-01-13T09:20:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","01829,5,M,N","016093,5,N,5","+0190,5","+0100,5","99999,9",,,,,,"08,5,+01829,5,99,9",,,"4,99,1,+01829,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01829,1,99,9,99,9","10224,5,09955,5",,,MET07601/13/22 03:20:02 METAR KGUL 130920Z 00000KT 10SM OVC060 19/10 A3019 RMK A01,
900,72066900247,2022-01-13T09:40:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","01829,5,M,N","016093,5,N,5","+0190,5","+0100,5","99999,9",,,,,,"08,5,+01829,5,99,9",,,"4,99,1,+01829,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01829,1,99,9,99,9","10224,5,09955,5",,,MET07601/13/22 03:40:02 METAR KGUL 130940Z 00000KT 10SM OVC060 19/10 A3019 RMK A01,
901,72066900247,2022-01-13T10:00:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","01829,5,M,N","016093,5,N,5","+0190,C","+0100,C","99999,9",,,,,,"08,5,+01829,5,99,9",,,"4,99,1,+01829,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01829,1,99,9,99,9","10220,5,09952,5",,,MET07601/13/22 04:00:02 METAR KGUL 131000Z 00000KT 10SM OVC060 19/10 A3018 RMK A01,R01    197TMP046R02    107DPT046
902,72066900247,2022-01-13T10:20:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0180,5","+0100,5","99999,9",,,,,,"04,5,+01829,5,99,9",,,"2,99,1,+01829,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01829,1,99,9,99,9","10217,5,09949,5",,,MET07601/13/22 04:20:02 METAR KGUL 131020Z 00000KT 10SM SCT060 18/10 A3017 RMK A01,D01      0ADE726
903,72066900247,2022-01-13T10:40:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0180,5","+0100,5","99999,9",,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10220,5,09952,5",,,MET07301/13/22 04:40:02 METAR KGUL 131040Z 00000KT 10SM CLR 18/10 A3018 RMK A01,
904,72066900247,2022-01-13T11:00:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0190,C","+0100,C","99999,9",,,,,,"02,5,+01463,5,99,9","04,5,+01829,5,99,9",,"1,99,1,+01463,5,9","2,99,1,+01829,5,9",,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01463,1,99,9,99,9","10220,5,09952,5",,,MET08301/13/22 05:00:02 METAR KGUL 131100Z 00000KT 10SM FEW048 SCT060 19/10 A3018 RMK A01,R01    197TMP046R02    107DPT046D01      0ADE726
905,72066900247,2022-01-13T11:20:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","01494,5,M,N","016093,5,N,5","+0190,5","+0100,5","99999,9",,,,,,"07,5,+01494,5,99,9","07,5,+01829,5,99,9",,"3,99,1,+01494,5,9","3,99,1,+01829,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01494,1,99,9,99,9","10220,5,09952,5",,,MET08301/13/22 05:20:02 METAR KGUL 131120Z 00000KT 10SM BKN049 BKN060 19/10 A3018 RMK A01,
906,72066900247,2022-01-13T11:40:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","01829,5,M,N","016093,5,N,5","+0190,5","+0100,5","99999,9",,,,,,"04,5,+01524,5,99,9","07,5,+01829,5,99,9",,"2,99,1,+01524,5,9","3,99,1,+01829,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01524,1,99,9,99,9","10220,5,09952,5",,,MET08301/13/22 05:40:02 METAR KGUL 131140Z 00000KT 10SM SCT050 BKN060 19/10 A3018 RMK A01,
