,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AT4,AU1,AU2,AW1,AW2,AW3,AW4,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,MA1,MV1,MW1,OC1,REM,EQD
11,72214753817,2022-01-01T03:55:00,4,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,99999,V020,"180,1,N,0021,1","00732,1,9,N","016093,1,9,9","+0210,1","+0200,1","99999,9",,,,,,,,,,,,,,"2,99,1,+00396,1,9","2,99,1,+00518,1,9","3,99,1,+00732,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00396,1,99,9,99,9","10176,1,99999,9",,,,MET078METAR KMGR 010355Z AUTO 18004KT 10SM SCT013 SCT017 BKN024 21/20 A3005 RMK AO2=,
12,72214753817,2022-01-01T04:15:00,4,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,99999,V020,"180,1,N,0026,1","00335,1,9,N","016093,1,9,9","+0210,1","+0200,1","99999,9",,,,,,,,,,,,,,"3,99,1,+00335,1,9","3,99,1,+00549,1,9","3,99,1,+00671,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00335,1,99,9,99,9","10176,1,99999,9",,,,MET078METAR KMGR 010415Z AUTO 18005KT 10SM BKN011 BKN018 BKN022 21/20 A3005 RMK AO2=,
13,72214753817,2022-01-01T04:35:00,4,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,99999,V020,"180,1,N,0026,1","00732,1,9,N","016093,1,9,9","+0210,1","+0200,1","99999,9",,,,,,,,,,,,,,"2,99,1,+00335,1,9","2,99,1,+00549,1,9","3,99,1,+00732,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00335,1,99,9,99,9","10176,1,99999,9",,,,MET078METAR KMGR 010435Z AUTO 18005KT 10SM SCT011 SCT018 BKN024 21/20 A3005 RMK AO2=,
14,72214753817,2022-01-01T04:55:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"210,5,N,0026,5","00335,5,M,N","016093,5,N,5","+0210,C","+0200,C","99999,9",,,,,,,,,,,"07,5,+00335,5,99,9","07,5,+00732,5,99,9",,"3,99,1,+00335,5,9","3,99,1,+00732,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00335,1,99,9,99,9","10176,5,10068,5",,,,MET08312/31/21 23:55:02 METAR KMGR 010455Z 21005KT 10SM BKN011 BKN024 21/20 A3005 RMK AO2,R01    217TMP046R02    207DPT046
15,72214753817,2022-01-01T05:15:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"200,5,N,0021,5","00274,5,M,N","011265,5,N,5","+0210,5","+0200,5","99999,9",,,,,,,,,,,"07,5,+00274,5,99,9","07,5,+00396,5,99,9",,"3,99,1,+00274,5,9","3,99,1,+00396,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00274,1,99,9,99,9","10173,5,10065,5",,,,MET08201/01/22 00:15:02 METAR KMGR 010515Z 20004KT 7SM BKN009 BKN013 21/20 A3004 RMK AO2,
16,72214753817,2022-01-01T05:35:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"200,5,N,0021,5","00366,5,M,N","011265,5,N,5","+0210,5","+0200,5","99999,9",,,,,,,,,,,"04,5,+00274,5,99,9","07,5,+00366,5,99,9",,"2,99,1,+00274,5,9","3,99,1,+00366,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00274,1,99,9,99,9","10173,5,10065,5",,,,MET08201/01/22 00:35:02 METAR KMGR 010535Z 20004KT 7SM SCT009 BKN012 21/20 A3004 RMK AO2,
17,72214753817,2022-01-01T05:55:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"180,5,N,0026,5","00244,5,M,N","011265,5,N,5","+0210,C","+0200,C","99999,9",,,,,,,,,,,"07,5,+00244,5,99,9","07,5,+00366,5,99,9","07,5,+01006,5,99,9","3,99,1,+00244,5,9","3,99,1,+00366,5,9","3,99,1,+01006,5,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00244,1,99,9,99,9","10169,5,10061,5",,,,MET08901/01/22 00:55:02 METAR KMGR 010555Z 18005KT 7SM BKN008 BKN012 BKN033 21/20 A3003 RMK AO2,R01    217TMP046R02    207DPT046
18,72214753817,2022-01-01T06:15:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"200,5,N,0026,5","00183,5,M,N","011265,5,N,5","+0210,5","+0200,5","99999,9",,,,,,,,,,,"07,5,+00183,5,99,9",,,"3,99,1,+00183,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00183,1,99,9,99,9","10169,5,10061,5",,,,MET07501/01/22 01:15:02 METAR KMGR 010615Z 20005KT 7SM BKN006 21/20 A3003 RMK AO2,
19,72214753817,2022-01-01T06:35:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"200,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0210,5","+0200,5","99999,9",,,,,,,,,,,"04,5,+00183,5,99,9","04,5,+00335,5,99,9",,"2,99,1,+00183,5,9","2,99,1,+00335,5,9",,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00183,1,99,9,99,9","10169,5,10061,5",,,,MET08301/01/22 01:35:02 METAR KMGR 010635Z 20006KT 10SM SCT006 SCT011 21/20 A3003 RMK AO2,D01      0ADE726
20,72214753817,2022-01-01T06:55:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"210,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0210,C","+0200,C","99999,9",,,,,,,,,,,"04,5,+00244,5,99,9","04,5,+00427,5,99,9",,"2,99,1,+00244,5,9","2,99,1,+00427,5,9",,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00244,1,99,9,99,9","10169,5,10061,5",,,,MET08301/01/22 01:55:02 METAR KMGR 010655Z 21006KT 10SM SCT008 SCT014 21/20 A3003 RMK AO2,R01    217TMP046R02    207DPT046D01      0ADE726
21,72214753817,2022-01-01T07:15:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"200,5,N,0031,5","00244,5,M,N","016093,5,N,5","+0210,5","+0200,5","99999,9",,,,,,,,,,,"07,5,+00244,5,99,9","07,5,+00427,5,99,9","07,5,+00975,5,99,9","3,99,1,+00244,5,9","3,99,1,+00427,5,9","3,99,1,+00975,5,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00244,1,99,9,99,9","10169,5,10061,5",,,,MET09001/01/22 02:15:02 METAR KMGR 010715Z 20006KT 10SM BKN008 BKN014 BKN032 21/20 A3003 RMK AO2,
22,72214753817,2022-01-01T07:35:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"200,5,N,0041,5","00549,5,M,N","016093,5,N,5","+0210,5","+0200,5","99999,9",,,,,,,,,,,"04,5,+00244,5,99,9","07,5,+00549,5,99,9","07,5,+00671,5,99,9","2,99,1,+00244,5,9","3,99,1,+00549,5,9","3,99,1,+00671,5,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00244,1,99,9,99,9","10169,5,10061,5",,,,MET09001/01/22 02:35:02 METAR KMGR 010735Z 20008KT 10SM SCT008 BKN018 BKN022 21/20 A3003 RMK AO2,
23,72214753817,2022-01-01T07:55:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"200,5,N,0021,5","00244,5,M,N","016093,5,N,5","+0210,C","+0200,C","99999,9",,,,,,,,,,,"07,5,+00244,5,99,9","07,5,+00396,5,99,9","08,5,+00549,5,99,9","3,99,1,+00244,5,9","3,99,1,+00396,5,9","4,99,1,+00549,5,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00244,1,99,9,99,9","10169,5,10061,5",,,,MET09001/01/22 02:55:02 METAR KMGR 010755Z 20004KT 10SM BKN008 BKN013 OVC018 21/20 A3003 RMK AO2,R01    217TMP046R02    207DPT046
24,72214753817,2022-01-01T08:15:00,7,31.08333,-83.8,86.3,"MOULTRIE AIRPORT, GA US",FM-15,KMGR ,V020,"210,5,N,0031,5","00244,5,M,N","016093,5,N,5","+0210,5","+0200,5","99999,9",,,,,,,,,,,"07,5,+00244,5,99,9","08,5,+00488,5,99,9",,"3,99,1,+00244,5,9","4,99,1,+00488,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00244,1,99,9,99,9","10169,5,10061,5",,,,MET08301/01/22 03:15:02 METAR KMGR 010815Z 21006KT 10SM BKN008 OVC016 21/20 A3003 RMK AO2,
