,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AT4,AT5,AU1,AU2,AW1,AW2,AW3,AW4,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,MA1,MV1,MW1,OC1,REM,EQD
8541,72073800267,2022-04-30T01:15:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"120,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0220,5","+0110,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10176,5,10080,5",,,,MET07304/29/22 20:15:01 METAR KTVI 300115Z 12006KT 10SM CLR 22/11 A3005 RMK AO2,
8542,72073800267,2022-04-30T01:35:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"120,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0220,5","+0120,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10176,5,10080,5",,,,MET07304/29/22 20:35:01 METAR KTVI 300135Z 12005KT 10SM CLR 22/12 A3005 RMK AO2,
8543,72073800267,2022-04-30T01:55:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"110,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0220,C","+0120,C","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10179,5,10083,5",,,,MET07304/29/22 20:55:01 METAR KTVI 300155Z 11005KT 10SM CLR 22/12 A3006 RMK AO2,R01    227TMP046R02    127DPT046
8544,72073800267,2022-04-30T02:15:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"120,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0210,5","+0120,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10179,5,10083,5",,,,MET07304/29/22 21:15:01 METAR KTVI 300215Z 12005KT 10SM CLR 21/12 A3006 RMK AO2,
8545,72073800267,2022-04-30T02:35:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"120,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0210,5","+0120,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10183,5,10087,5",,,,MET07304/29/22 21:35:01 METAR KTVI 300235Z 12007KT 10SM CLR 21/12 A3007 RMK AO2,
8546,72073800267,2022-04-30T02:55:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"130,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0210,C","+0120,C","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10186,5,10090,5",,,,MET07304/29/22 21:55:01 METAR KTVI 300255Z 13006KT 10SM CLR 21/12 A3008 RMK AO2,R01    217TMP046R02    127DPT046
8547,72073800267,2022-04-30T03:15:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"130,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0210,5","+0120,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10186,5,10090,5",,,,MET07304/29/22 22:15:02 METAR KTVI 300315Z 13005KT 10SM CLR 21/12 A3008 RMK AO2,
8548,72073800267,2022-04-30T03:35:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"130,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0210,5","+0130,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,5,10093,5",,,,MET07304/29/22 22:35:02 METAR KTVI 300335Z 13006KT 10SM CLR 21/13 A3009 RMK AO2,
8549,72073800267,2022-04-30T03:55:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"130,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0200,C","+0130,C","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,5,10093,5",,,,MET07304/29/22 22:55:02 METAR KTVI 300355Z 13005KT 10SM CLR 20/13 A3009 RMK AO2,R01    207TMP046R02    137DPT046
8550,72073800267,2022-04-30T04:15:00,7,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,KTVI ,V020,"120,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0200,5","+0130,5","99999,9",,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,5,10093,5",,,,MET07304/29/22 23:15:02 METAR KTVI 300415Z 12007KT 10SM CLR 20/13 A3009 RMK AO2,
