,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AT4,AT5,AU1,AW1,AW2,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,MA1,MW1,OC1,REM,EQD
3391,72032104893,2022-02-18T03:15:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"310,5,N,0041,5","22000,5,9,N","016093,5,N,5","-0100,5","-0140,5","99999,9",,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10139,5,09907,5",,"0098,5",MET07802/17/22 22:15:01 METAR KSLH 180315Z 31008G19KT 10SM CLR M10/M14 A2994 RMK AO2,
3392,72032104893,2022-02-18T03:35:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"300,5,N,0046,5","22000,5,9,N","016093,5,N,5","-0100,5","-0140,5","99999,9",,,,,,,,,"04,5,+00762,5,99,9",,,"2,99,1,+00762,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00762,1,99,9,99,9","10139,5,09907,5",,,MET07802/17/22 22:35:01 METAR KSLH 180335Z 30009KT 10SM SCT025 M10/M14 A2994 RMK AO2,D01      0ADE726
3393,72032104893,2022-02-18T03:55:00,4,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,99999,V020,"310,1,N,0046,1","00762,1,9,N","016093,1,9,9","-0110,1","-0140,1","99999,9",,,,,,,,,,,,"3,99,1,+00762,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00762,1,99,9,99,9","10139,1,99999,9",,,MET066METAR KSLH 180355Z AUTO 31009KT 10SM BKN025 M11/M14 A2994 RMK AO2=,
3394,72032104893,2022-02-18T04:15:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"310,5,N,0041,5","00762,5,M,N","016093,5,N,5","-0110,5","-0140,5","99999,9",,,,,,,,,"04,5,+00488,5,99,9","08,5,+00762,5,99,9",,"2,99,1,+00488,5,9","4,99,1,+00762,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00488,1,99,9,99,9","10139,5,09907,5",,,MET08502/17/22 23:15:02 METAR KSLH 180415Z 31008KT 10SM SCT016 OVC025 M11/M14 A2994 RMK AO2,
3395,72032104893,2022-02-18T04:35:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"300,5,N,0036,5","00701,5,M,N","016093,5,N,5","-0110,5","-0140,5","99999,9",,,,,,,,,"07,5,+00701,5,99,9","07,5,+01250,5,99,9",,"3,99,1,+00701,5,9","3,99,1,+01250,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9","10139,5,09907,5",,,MET08502/17/22 23:35:02 METAR KSLH 180435Z 30007KT 10SM BKN023 BKN041 M11/M14 A2994 RMK AO2,
3396,72032104893,2022-02-18T04:55:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"300,5,N,0046,5","22000,5,9,N","016093,5,N,5","-0120,C","-0140,C","99999,9",,,,,,,,,"04,5,+00701,5,99,9","04,5,+01250,5,99,9",,"2,99,1,+00701,5,9","2,99,1,+01250,5,9",,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00701,1,99,9,99,9","10139,5,09907,5",,,MET08502/17/22 23:55:02 METAR KSLH 180455Z 30009KT 10SM SCT023 SCT041 M12/M14 A2994 RMK AO2,R01   M127TMP046R02   M147DPT046D01      0ADE726
3397,72032104893,2022-02-18T04:59:00,O,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",SOD  ,KSLH ,V020,"999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","AU,18,SN  ,5",,,,,,,,,,,,,,,,,,,,
3398,72032104893,2022-02-18T05:15:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"300,5,N,0036,5","22000,5,9,N","016093,5,N,5","-0120,5","-0140,5","99999,9",,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10139,5,09907,5",,,MET07502/18/22 00:15:02 METAR KSLH 180515Z 30007KT 10SM CLR M12/M14 A2994 RMK AO2,
3399,72032104893,2022-02-18T05:35:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"300,5,N,0036,5","22000,5,9,N","016093,5,N,5","-0120,5","-0140,5","99999,9",,,,,,"1,0,03,0,0,1,5","71,5",,"04,5,+01128,5,99,9",,,"2,99,1,+01128,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01128,1,99,9,99,9","10139,5,09907,5","71,5",,MET08202/18/22 00:35:02 METAR KSLH 180535Z 30007KT 10SM -SN SCT037 M12/M14 A2994 RMK AO2,D01      0ADE726
3400,72032104893,2022-02-18T05:55:00,7,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,KSLH ,V020,"290,5,N,0031,5","01128,5,M,N","016093,5,N,5","-0120,C","-0140,C","99999,9",,,,,,,,,"07,5,+01128,5,99,9",,,"3,99,1,+01128,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01128,1,99,9,99,9","10142,5,09910,5",,,MET07802/18/22 00:55:02 METAR KSLH 180555Z 29006KT 10SM BKN037 M12/M14 A2995 RMK AO2,R01   M127TMP046R02   M147DPT046
