,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AT4,AT5,AT6,AU1,AW1,AW2,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,KA1,KA2,KA3,KA4,MA1,MW1,OC1,REM,EQD
3976,72034054818,2022-02-28T09:15:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","-0072,5","-0124,5","99999,9",,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,"10237,5,10005,5",,,MET08502/28/22 04:15:02 METAR KFKS 280915Z 00000KT 10SM CLR M07/M12 A3023 RMK AO2 T10721124,
3977,72034054818,2022-02-28T09:35:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"110,5,N,0026,5","22000,5,9,N","016093,5,N,5","-0073,5","-0125,5","99999,9",,,,,,,,,,"04,5,+02286,5,99,9",,,"2,99,1,+02286,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,02286,1,99,9,99,9",,,,,"10240,5,10009,5",,,MET08802/28/22 04:35:02 METAR KFKS 280935Z 11005KT 10SM SCT075 M07/M12 A3024 RMK AO2 T10731125,D01      0ADE726
3978,72034054818,2022-02-28T09:55:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"110,5,N,0015,5","22000,5,9,N","016093,5,N,5","-0075,5","-0128,5","99999,9",,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,"10237,5,10005,5",,,MET08502/28/22 04:55:02 METAR KFKS 280955Z 11003KT 10SM CLR M07/M13 A3023 RMK AO2 T10751128,
3979,72034054818,2022-02-28T10:15:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"100,5,N,0026,5","01829,5,M,N","016093,5,N,5","-0075,5","-0130,5","99999,9",,,,,,,,,,"07,5,+01829,5,99,9","07,5,+02591,5,99,9",,"3,99,1,+01829,5,9","3,99,1,+02591,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01829,1,99,9,99,9",,,,,"10237,5,10005,5",,,MET09502/28/22 05:15:02 METAR KFKS 281015Z 10005KT 10SM BKN060 BKN085 M07/M13 A3023 RMK AO2 T10751130,
3980,72034054818,2022-02-28T10:35:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"110,5,N,0026,5","22000,5,9,N","016093,5,N,5","-0075,5","-0131,5","99999,9",,,,,,,,,,"04,5,+01829,5,99,9",,,"2,99,1,+01829,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01829,1,99,9,99,9",,,,,"10237,5,10005,5",,,MET08802/28/22 05:35:02 METAR KFKS 281035Z 11005KT 10SM SCT060 M07/M13 A3023 RMK AO2 T10751131,D01      0ADE726
3981,72034054818,2022-02-28T10:55:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"110,5,N,0026,5","22000,5,9,N","016093,5,N,5","-0075,5","-0135,5","99999,9",,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,"10237,5,10005,5",,,MET08502/28/22 05:55:02 METAR KFKS 281055Z 11005KT 10SM CLR M07/M13 A3023 RMK AO2 T10751135,
3982,72034054818,2022-02-28T11:15:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"120,5,N,0021,5","22000,5,9,N","016093,5,N,5","-0075,5","-0139,5","99999,9",,,,,,,,,,"04,5,+01829,5,99,9","04,5,+02134,5,99,9","04,5,+02743,5,99,9","2,99,1,+01829,5,9","2,99,1,+02134,5,9","2,99,1,+02743,5,9","9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01829,1,99,9,99,9",,,,,"10234,5,10002,5",,,MET10202/28/22 06:15:02 METAR KFKS 281115Z 12004KT 10SM SCT060 SCT070 SCT090 M07/M14 A3022 RMK AO2 T10751139,D01      0ADE726
3983,72034054818,2022-02-28T11:35:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"130,5,N,0026,5","22000,5,9,N","016093,5,N,5","-0074,5","-0145,5","99999,9",,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,"10234,5,10002,5",,,MET08502/28/22 06:35:01 METAR KFKS 281135Z 13005KT 10SM CLR M07/M14 A3022 RMK AO2 T10741145,
3984,72034054818,2022-02-28T11:55:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"120,5,N,0026,5","22000,5,9,N","016093,5,N,5","-0072,5","-0147,5","99999,9",,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","060,M,-0060,1","060,N,-0075,1",,,"10234,5,10002,5",,,MET09702/28/22 06:55:01 METAR KFKS 281155Z 12005KT 10SM CLR M07/M15 A3022 RMK AO2 T10721147 11060 21075,
3985,72034054818,2022-02-28T12:15:00,7,44.62556,-86.20083,192.6,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",FM-15,KFKS ,V020,"120,5,N,0026,5","22000,5,9,N","016093,5,N,5","-0071,5","-0146,5","99999,9",,,,,,,,,,"04,5,+02743,5,99,9",,,"2,99,1,+02743,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,02743,1,99,9,99,9",,,,,"10234,5,10002,5",,,MET08802/28/22 07:15:01 METAR KFKS 281215Z 12005KT 10SM SCT090 M07/M15 A3022 RMK AO2 T10711146,D01      0ADE726
