,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AT4,AT5,AU1,AW1,AW2,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,KA1,KA2,KA3,KA4,MA1,MW1,OC1,REM,EQD
5044,72212504829,2022-03-11T14:15:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"999,9,C,0000,5","00305,5,M,N","003219,5,V,5","-0061,5","-0090,5","99999,9",,,,,,"1,0,03,0,0,1,5","71,5",,"08,5,+00305,5,99,9",,,"4,99,1,+00305,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00305,1,99,9,99,9",,,,,"10169,5,09951,5","71,5",,MET10303/11/22 09:15:02 METAR KHYX 111415Z 00000KT 2SM -SN OVC010 M06/M09 A3003 RMK AO2 VIS 1 1/2V3 T10611090,
5045,72212504829,2022-03-11T14:35:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"999,9,C,0000,5","00396,5,M,N","004023,5,N,5","-0058,5","-0089,5","99999,9",,,,,,"1,0,03,0,0,1,5","71,5",,"08,5,+00396,5,99,9",,,"4,99,1,+00396,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00396,1,99,9,99,9",,,,,"10169,5,09951,5","71,5",,MET09503/11/22 09:35:02 METAR KHYX 111435Z 00000KT 2 1/2SM -SN OVC013 M06/M09 A3003 RMK AO2 T10581089,
5046,72212504829,2022-03-11T14:55:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"999,9,C,0000,5","00457,5,M,N","003219,5,N,5","-0054,5","-0088,5","99999,9",,,,,,"1,0,03,0,0,1,5","71,5",,"08,5,+00457,5,99,9",,,"4,99,1,+00457,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00457,1,99,9,99,9",,,,,"10169,5,09951,5","71,5",,MET09103/11/22 09:55:02 METAR KHYX 111455Z 00000KT 2SM -SN OVC015 M05/M09 A3003 RMK AO2 T10541088,
5047,72212504829,2022-03-11T15:15:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"999,9,C,0000,5","00427,5,M,N","002816,5,N,5","-0056,5","-0088,5","99999,9",,,,,,"1,0,03,0,0,1,5","71,5",,"08,5,+00427,5,99,9",,,"4,99,1,+00427,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00427,1,99,9,99,9",,,,,"10166,5,09947,5","71,5",,MET09503/11/22 10:15:02 METAR KHYX 111515Z 00000KT 1 3/4SM -SN OVC014 M06/M09 A3002 RMK AO2 T10561088,
5048,72212504829,2022-03-11T15:35:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"999,9,C,0000,5","00427,5,M,N","003219,5,N,5","-0054,5","-0087,5","99999,9",,,,,,"1,0,03,0,0,1,5","71,5",,"08,5,+00427,5,99,9",,,"4,99,1,+00427,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00427,1,99,9,99,9",,,,,"10163,5,09944,5","71,5",,MET09103/11/22 10:35:02 METAR KHYX 111535Z 00000KT 2SM -SN OVC014 M05/M09 A3001 RMK AO2 T10541087,
5049,72212504829,2022-03-11T15:55:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"140,5,N,0015,5","00427,5,M,N","002816,5,N,5","-0054,5","-0086,5","99999,9",,,,,,"1,0,03,0,0,1,5","71,5",,"08,5,+00427,5,99,9",,,"4,99,1,+00427,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00427,1,99,9,99,9",,,,,"10163,5,09944,5","71,5",,MET09503/11/22 10:55:02 METAR KHYX 111555Z 14003KT 1 3/4SM -SN OVC014 M05/M09 A3001 RMK AO2 T10541086,
5050,72212504829,2022-03-11T16:15:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"150,5,N,0015,5","00305,5,M,N","004828,5,N,5","-0051,5","-0083,5","99999,9",,,,,,"1,0,03,0,0,1,5","71,5",,"07,5,+00305,5,99,9","07,5,+00488,5,99,9",,"3,99,1,+00305,5,9","3,99,1,+00488,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00305,1,99,9,99,9",,,,,"10159,5,09941,5","71,5",,MET09803/11/22 11:15:02 METAR KHYX 111615Z 15003KT 3SM -SN BKN010 BKN016 M05/M08 A3000 RMK AO2 T10511083,
5051,72212504829,2022-03-11T16:35:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"999,9,C,0000,5","22000,5,9,N","011265,5,N,5","-0048,5","-0081,5","99999,9",,,,,,,,,"04,5,+00488,5,99,9",,,"2,99,1,+00488,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00488,1,99,9,99,9",,,,,"10156,5,09937,5",,,MET08703/11/22 11:35:02 METAR KHYX 111635Z 00000KT 7SM SCT016 M05/M08 A2999 RMK AO2 T10481081,D01      0ADE726
5052,72212504829,2022-03-11T16:55:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"999,9,C,0000,5","00488,5,M,N","016093,5,N,5","-0045,5","-0081,5","99999,9",,,,,,,,,"08,5,+00488,5,99,9",,,"4,99,1,+00488,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00488,1,99,9,99,9",,,,,"10156,5,09937,5",,,MET08803/11/22 11:55:02 METAR KHYX 111655Z 00000KT 10SM OVC016 M04/M08 A2999 RMK AO2 T10451081,
5053,72212504829,2022-03-11T17:15:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"999,9,C,0000,5","00549,5,M,N","016093,5,N,5","-0041,5","-0078,5","99999,9",,,,,,,,,"07,5,+00549,5,99,9","08,5,+00671,5,99,9",,"3,99,1,+00549,5,9","4,99,1,+00671,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00549,1,99,9,99,9",,,,,"10149,5,09931,5",,,MET09503/11/22 12:15:02 METAR KHYX 111715Z 00000KT 10SM BKN018 OVC022 M04/M08 A2997 RMK AO2 T10411078,
